Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,4,14,1.2,3.5,5.5,11.5,19.4,29.0,22.8,10.5,18.1,34.5,30.9,29.0,27.8,30.2,31.9,37.6,43.2,50.6,77.8,77.6,85.2,84.4,84.8,86.2
2012,4,15,86.1,83.9,83.5,78.9,66.2,56.7,51.5,70.8,82.3,85.2,82.5,77.6,75.3,66.7,61.8,66.0,69.2,64.1,77.9,91.8,91.7,94.1,92.1,88.8
2012,4,16,78.4,68.3,50.1,47.6,48.1,53.7,58.3,48.2,48.7,57.1,58.1,47.4,55.7,63.6,77.8,90.2,67.7,58.6,57.4,77.6,59.3,69.6,52.3,44.0
2012,4,17,55.0,39.9,21.8,11.6,13.0,8.7,6.0,2.2,2.0,1.9,1.7,2.6,3.5,5.4,11.3,17.8,24.1,21.2,27.7,21.4,28.2,39.9,44.2,28.9
2012,4,18,19.1,19.8,11.5,6.1,4.8,5.5,3.9,5.5,5.0,7.4,18.4,26.5,36.1,52.8,61.8,71.5,70.5,70.6,72.5,65.8,66.6,60.5,50.6,67.5
2012,4,19,75.7,72.5,63.5,58.2,57.7,68.9,57.0,58.4,66.5,57.4,51.5,48.1,48.6,50.1,54.1,54.9,49.0,52.1,46.4,49.5,51.9,39.5,25.1,12.1
2012,4,20,4.2,0.8,0.6,1.5,3.3,8.2,10.5,3.9,2.9,4.6,6.1,7.5,7.6,7.2,8.9,11.2,12.6,11.0,21.4,36.7,61.6,69.8,72.9,63.6
2012,4,21,48.0,29.0,26.6,21.2,24.6,23.0,12.8,3.2,1.7,3.2,5.7,8.4,8.4,7.8,9.4,6.4,4.4,2.8,18.8,23.5,27.1,43.4,41.8,68.5
2012,4,22,80.1,90.5,86.9,89.4,86.3,83.1,90.7,79.5,57.7,62.8,80.4,84.1,76.4,61.0,51.9,55.2,58.2,81.1,98.3,99.9,100.0,98.1,91.0,87.4
2012,4,23,83.1,73.3,68.4,72.5,65.1,68.3,61.7,54.2,47.9,53.1,56.0,53.8,68.1,79.1,87.4,53.6,52.5,42.0,34.8,56.2,91.2,94.4,45.5,67.9
2012,4,24,56.9,57.5,71.0,70.0,71.5,69.5,67.0,67.2,66.7,66.0,66.9,68.9,71.4,72.9,69.2,70.3,84.8,91.8,94.7,98.2,98.0,92.5,88.3,84.0
2012,4,25,75.9,69.8,79.5,72.9,78.5,64.5,78.3,88.4,86.5,88.1,90.3,89.2,88.5,87.7,87.9,91.4,91.9,84.9,75.1,71.0,90.9,94.8,92.4,98.8
2012,4,26,96.5,97.8,99.2,97.3,94.0,88.2,91.3,91.0,88.5,86.8,86.2,85.3,87.4,81.2,78.5,85.5,85.8,79.2,59.1,61.2,71.0,48.8,69.1,77.3
2012,4,27,68.1,70.3,71.3,50.9,43.9,53.5,34.2,16.2,15.1,9.2,5.3,3.2,9.6,14.3,26.1,35.3,41.8,39.5,40.5,54.5,45.7,31.2,37.7,32.4
2012,4,28,40.0,38.1,36.8,28.0,26.9,19.8,16.0,15.6,24.6,26.6,28.0,26.5,27.3,30.8,45.9,57.3,60.0,55.0,57.0,58.5,60.7,54.6,40.0,35.9
2012,4,29,35.3,29.1,28.3,37.5,37.7,33.6,36.6,36.6,46.3,48.8,52.8,53.6,56.8,55.8,59.2,75.0,86.0,73.4,46.1,54.9,60.0,36.6,32.3,39.3
2012,4,30,22.7,22.8,29.6,29.4,16.3,20.9,24.5,31.1,38.3,27.3,21.8,18.7,15.0,15.1,15.7,13.4,12.9,26.5,40.4,52.0,73.3,80.4,63.1,62.6
2012,5,1,68.3,67.3,44.9,44.3,51.5,42.0,42.9,37.8,35.0,34.1,36.0,32.5,26.9,22.8,19.2,16.8,16.2,20.5,42.9,88.2,91.7,67.6,42.2,14.7
2012,5,2,7.8,6.8,8.4,9.4,9.5,7.7,7.6,7.6,7.8,8.1,7.7,7.9,7.0,11.7,15.4,30.4,33.8,22.1,25.4,20.4,27.0,43.6,23.4,4.6
2012,5,3,8.8,7.2,11.0,15.2,7.3,4.2,1.6,1.8,1.4,2.3,3.8,12.5,24.3,35.3,40.5,41.4,44.8,40.5,27.8,21.6,19.7,18.2,16.2,19.4
2012,5,4,10.3,10.8,6.6,7.6,6.4,6.6,2.0,1.9,4.2,2.3,2.2,1.7,2.6,4.5,3.6,3.2,7.2,11.2,24.7,36.1,42.4,33.2,35.0,41.7
2012,5,5,40.5,47.7,48.0,46.0,43.0,37.7,24.6,23.7,33.4,33.8,33.7,38.8,38.3,39.7,42.7,49.6,42.1,34.0,60.5,90.3,71.1,60.7,48.7,11.8
2012,5,6,7.8,17.5,47.3,29.5,23.9,16.4,10.5,12.4,13.9,11.3,16.7,16.9,14.9,15.0,15.3,14.9,14.0,14.6,18.6,20.7,17.4,13.1,14.0,16.8
2012,5,7,22.6,26.2,29.8,25.0,20.6,14.1,8.4,6.0,11.2,17.4,21.0,20.8,20.0,20.5,19.8,21.1,23.7,32.9,59.9,75.9,99.5,100.0,99.1,92.0
2012,5,8,83.5,76.8,74.1,70.0,61.4,62.2,94.7,70.0,41.1,26.2,20.7,13.9,11.6,21.1,30.9,28.8,27.9,55.0,79.6,59.5,47.7,52.5,40.0,32.9
2012,5,9,38.0,36.7,32.8,35.3,42.2,48.4,55.4,69.1,66.9,56.3,51.0,43.2,38.3,36.1,34.6,32.9,30.9,29.1,21.2,18.8,16.0,14.3,12.1,13.6
2012,5,10,14.4,13.0,9.4,10.8,10.1,9.1,5.3,5.9,9.0,8.6,8.0,6.7,7.3,8.4,12.9,17.5,26.6,42.2,57.7,63.8,40.4,41.7,40.9,36.1
2012,5,11,26.8,30.5,27.6,22.0,21.0,20.1,20.6,21.1,20.4,18.2,15.7,10.8,8.9,9.3,8.6,10.1,11.9,17.4,23.9,23.9,15.1,13.2,14.7,17.6
2012,5,12,18.9,26.1,31.1,31.9,30.7,28.3,22.2,33.5,47.5,57.6,63.7,62.9,61.5,63.5,67.8,72.7,89.0,87.4,58.1,56.0,32.9,62.8,53.1,71.4
